param_activation;param_hidden_layer_sizes;param_learning_rate;mean_test_score;rank_test_score
identity;1;adaptive;0.6646103896103895;277
identity;1;constant;0.6646103896103895;277
identity;1;invscaling;0.6646103896103895;277
identity;2;adaptive;0.6948051948051948;250
identity;2;constant;0.6948051948051948;250
identity;2;invscaling;0.6948051948051948;250
identity;3;adaptive;0.7025632262474368;229
identity;3;constant;0.7025632262474368;229
identity;3;invscaling;0.7025632262474368;229
identity;4;adaptive;0.694788106630212;253
identity;4;constant;0.694788106630212;253
identity;4;invscaling;0.694788106630212;253
identity;5;adaptive;0.7051606288448393;214
identity;5;constant;0.7051606288448393;214
identity;5;invscaling;0.7051606288448393;214
identity;6;adaptive;0.7183697881066302;148
identity;6;constant;0.7183697881066302;148
identity;6;invscaling;0.7183697881066302;148
identity;7;adaptive;0.7235475051264526;82
identity;7;constant;0.7235475051264526;82
identity;7;invscaling;0.7235475051264526;82
identity;8;adaptive;0.719583048530417;145
identity;8;constant;0.719583048530417;145
identity;8;invscaling;0.719583048530417;145
identity;9;adaptive;0.7209842788790157;103
identity;9;constant;0.7209842788790157;103
identity;9;invscaling;0.7209842788790157;103
identity;10;adaptive;0.7261961722488038;37
identity;10;constant;0.7261961722488038;37
identity;10;invscaling;0.7261961722488038;37
identity;11;adaptive;0.7169856459330143;157
identity;11;constant;0.7169856459330143;157
identity;11;invscaling;0.7169856459330143;157
identity;12;adaptive;0.7235987696514011;64
identity;12;constant;0.7235987696514011;64
identity;12;invscaling;0.7235987696514011;64
identity;13;adaptive;0.7209330143540671;118
identity;13;constant;0.7209330143540671;118
identity;13;invscaling;0.7209330143540671;118
identity;14;adaptive;0.7183356117566644;151
identity;14;constant;0.7183356117566644;151
identity;14;invscaling;0.7183356117566644;151
identity;15;adaptive;0.7301264524948736;16
identity;15;constant;0.7301264524948736;16
identity;15;invscaling;0.7301264524948736;16
identity;16;adaptive;0.7262132604237868;34
identity;16;constant;0.7262132604237868;34
identity;16;invscaling;0.7262132604237868;34
identity;17;adaptive;0.722282980177717;94
identity;17;constant;0.722282980177717;94
identity;17;invscaling;0.722282980177717;94
identity;18;adaptive;0.7196514012303485;136
identity;18;constant;0.7196514012303485;136
identity;18;invscaling;0.7196514012303485;136
identity;19;adaptive;0.7222658920027341;97
identity;19;constant;0.7222658920027341;97
identity;19;invscaling;0.7222658920027341;97
identity;20;adaptive;0.7196514012303487;133
identity;20;constant;0.7196514012303487;133
identity;20;invscaling;0.7196514012303487;133
identity;21;adaptive;0.7235645933014354;76
identity;21;constant;0.7235645933014354;76
identity;21;invscaling;0.7235645933014354;76
identity;22;adaptive;0.7196855775803145;130
identity;22;constant;0.7196855775803145;130
identity;22;invscaling;0.7196855775803145;130
identity;23;adaptive;0.7209671907040328;106
identity;23;constant;0.7209671907040328;106
