Class,Threshold
mildVsAll,1.986055
mildVsAll,0.986055
mildVsAll,0.982087
mildVsAll,0.9765068
mildVsAll,0.9445523
mildVsAll,0.9420699
mildVsAll,0.9304166
mildVsAll,0.9302805
mildVsAll,0.8939495
mildVsAll,0.89292747
mildVsAll,0.88803047
mildVsAll,0.8785666
mildVsAll,0.83737797
mildVsAll,0.8372016
mildVsAll,0.7871405
mildVsAll,0.7841554
mildVsAll,0.7392981
mildVsAll,0.73833287
mildVsAll,0.72093576
mildVsAll,0.7122825
mildVsAll,0.70452315
mildVsAll,0.7015429
mildVsAll,0.68725777
mildVsAll,0.68217945
mildVsAll,0.6809727
mildVsAll,0.671328
mildVsAll,0.67019
mildVsAll,0.668191
mildVsAll,0.6563427
mildVsAll,0.65355325
mildVsAll,0.65065473
mildVsAll,0.6483145
mildVsAll,0.62484515
mildVsAll,0.6139275
mildVsAll,0.5729916
mildVsAll,0.56636816
mildVsAll,0.55562544
mildVsAll,0.5529054
mildVsAll,0.5410588
mildVsAll,0.53414357
mildVsAll,0.5177545
mildVsAll,0.50417024
mildVsAll,0.49385262
mildVsAll,0.49045038
mildVsAll,0.4831711
mildVsAll,0.44572285
mildVsAll,0.4435762
mildVsAll,0.43205827
mildVsAll,0.3984432
mildVsAll,0.3969856
mildVsAll,0.38638452
mildVsAll,0.34232625
mildVsAll,0.34056905
mildVsAll,0.26130375
mildVsAll,0.25132635
mildVsAll,0.2451511
mildVsAll,0.23848736
mildVsAll,0.23315015
mildVsAll,0.22842963
mildVsAll,0.20908761
mildVsAll,0.16945784
mildVsAll,0.1133683
mildVsAll,0.11029798
mildVsAll,0.0015093101
modVsAll,1.8740252
modVsAll,0.8740252
modVsAll,0.8594396
modVsAll,0.7636825
modVsAll,0.7564413
modVsAll,0.72244334
modVsAll,0.703749
modVsAll,0.62517565
modVsAll,0.6138994
modVsAll,0.60647196
modVsAll,0.58099085
modVsAll,0.5748538
modVsAll,0.5601472
modVsAll,0.5588718
modVsAll,0.5520586
modVsAll,0.55083025
modVsAll,0.5438892
modVsAll,0.5227546
modVsAll,0.51366377
modVsAll,0.50972474
modVsAll,0.49745008
modVsAll,0.49256772
modVsAll,0.48199597
modVsAll,0.48008686
modVsAll,0.46163684
modVsAll,0.4596579
modVsAll,0.45753312
modVsAll,0.45670044
modVsAll,0.45071778
modVsAll,0.43908906
modVsAll,0.42102066
modVsAll,0.4141503
modVsAll,0.41067305
modVsAll,0.40277356
modVsAll,0.3765272
modVsAll,0.3760035
modVsAll,0.33206072
modVsAll,0.32619274
modVsAll,0.31765866
modVsAll,0.31491214
modVsAll,0.30271646
modVsAll,0.29884887
modVsAll,0.280344
modVsAll,0.2760781
modVsAll,0.27178633
modVsAll,0.27133882
modVsAll,0.2657012
modVsAll,0.26567325
modVsAll,0.24201308
modVsAll,0.23637559
modVsAll,0.22666305
modVsAll,0.22113627
modVsAll,0.2068618
modVsAll,0.20631039
modVsAll,0.15895444
modVsAll,0.15753448
modVsAll,0.15648688
modVsAll,0.15523648
modVsAll,0.14938413
modVsAll,0.14754926
modVsAll,0.13196802
modVsAll,0.12726921
modVsAll,0.10217581
modVsAll,0.101278104
modVsAll,0.087155044
modVsAll,0.0847831
modVsAll,0.08252221
modVsAll,0.08033453
modVsAll,0.06773085
modVsAll,0.0674156
modVsAll,0.0601299
modVsAll,0.05755427
modVsAll,0.04406755
modVsAll,0.042026203
modVsAll,0.021152396
modVsAll,0.018894434
modVsAll,0.010240729
sevVsAll,1.9854392
sevVsAll,0.9854392
sevVsAll,0.91494256
sevVsAll,0.91101736
sevVsAll,0.77496904
sevVsAll,0.7690323
sevVsAll,0.5411966
sevVsAll,0.5334605
sevVsAll,0.45197606
sevVsAll,0.3956384
sevVsAll,0.377911
sevVsAll,0.35759363
sevVsAll,0.3377423
sevVsAll,0.32650328
sevVsAll,0.32239577
sevVsAll,0.251574
sevVsAll,0.24874073
sevVsAll,0.23613714
sevVsAll,0.22337884
sevVsAll,0.21995676
sevVsAll,0.21708989
sevVsAll,0.20657803
sevVsAll,0.20359191
sevVsAll,0.15379643
sevVsAll,0.14845435
sevVsAll,0.14601648
sevVsAll,0.14360404
sevVsAll,0.1378594
sevVsAll,0.13386227
sevVsAll,0.10945367
sevVsAll,0.108387314
sevVsAll,0.04927067
sevVsAll,0.04725838
sevVsAll,0.034038834
sevVsAll,0.032456916
sevVsAll,0.02766903
sevVsAll,0.027553631
sevVsAll,0.026738001
sevVsAll,0.026670728
sevVsAll,0.015891211
sevVsAll,0.01572482
sevVsAll,0.0023039791
